a8, b6, c8, b6, d5, c7, d5, c7, a8, 
a8, b6, c8, b6, d5, c7, d5, b6, a8, 
a8, b6, c8, b6, d5, c7, b5, c7, a8, 
a8, b6, c8, b6, d5, c7, e8, c7, a8, 
a8, b6, c8, b6, d5, c7, e6, c7, a8, 
a8, b6, c8, b6, d5, c7, a8, b6, a8, 
a8, b6, c8, b6, d5, c7, a8, c7, a8, 
a8, b6, c8, b6, d5, c7, a6, c7, a8, 
a8, b6, c8, b6, d5, c3, d5, c7, a8, 
a8, b6, c8, b6, d5, c3, d5, b6, a8, 
a8, b6, c8, b6, d5, c3, b5, c7, a8, 
a8, b6, c8, b6, d5, c3, a4, b6, a8, 
a8, b6, c8, b6, d5, f6, e8, c7, a8, 
a8, b6, c8, b6, d5, f6, d7, b6, a8, 
a8, b6, c8, b6, d5, f6, d5, c7, a8, 
a8, b6, c8, b6, d5, f6, d5, b6, a8, 
a8, b6, c8, b6, d5, f4, e6, c7, a8, 
a8, b6, c8, b6, d5, f4, d5, c7, a8, 
a8, b6, c8, b6, d5, f4, d5, b6, a8, 
a8, b6, c8, b6, d5, b6, c8, b6, a8, 
a8, b6, c8, b6, d5, b6, c4, b6, a8, 
a8, b6, c8, b6, d5, b6, a8, b6, a8, 
a8, b6, c8, b6, d5, b6, a8, c7, a8, 
a8, b6, c8, b6, d5, b6, a4, b6, a8, 
a8, b6, c8, b6, d5, b6, d7, b6, a8, 
a8, b6, c8, b6, d5, b6, d5, c7, a8, 
a8, b6, c8, b6, d5, b6, d5, b6, a8, 
a8, b6, c8, b6, d5, b4, a6, c7, a8, 
a8, b6, c8, b6, d5, b4, d5, c7, a8, 
a8, b6, c8, b6, d5, b4, d5, b6, a8, 
a8, b6, c8, e7, f5, g7, e8, c7, a8, 
a8, b6, c8, e7, f5, g7, e6, c7, a8, 
a8, b6, c8, e7, f5, e7, d5, c7, a8, 
a8, b6, c8, e7, f5, e7, d5, b6, a8, 
a8, b6, c8, e7, f5, e7, c8, b6, a8, 
a8, b6, c8, e7, f5, e3, d5, c7, a8, 
a8, b6, c8, e7, f5, e3, d5, b6, a8, 
a8, b6, c8, e7, f5, e3, c4, b6, a8, 
a8, b6, c8, e7, f5, d6, e8, c7, a8, 
a8, b6, c8, e7, f5, d6, c8, b6, a8, 
a8, b6, c8, e7, f5, d6, c4, b6, a8, 
a8, b6, c8, e7, f5, d6, b5, c7, a8, 
a8, b6, c8, e7, f5, d4, e6, c7, a8, 
a8, b6, c8, e7, f5, d4, b5, c7, a8, 
a8, b6, c8, e7, d5, e7, d5, c7, a8, 
a8, b6, c8, e7, d5, e7, d5, b6, a8, 
a8, b6, c8, e7, d5, e7, c8, b6, a8, 
a8, b6, c8, e7, d5, e3, d5, c7, a8, 
a8, b6, c8, e7, d5, e3, d5, b6, a8, 
a8, b6, c8, e7, d5, e3, c4, b6, a8, 
a8, b6, c8, e7, d5, c7, d5, c7, a8, 
a8, b6, c8, e7, d5, c7, d5, b6, a8, 
a8, b6, c8, e7, d5, c7, b5, c7, a8, 
a8, b6, c8, e7, d5, c7, e8, c7, a8, 
a8, b6, c8, e7, d5, c7, e6, c7, a8, 
a8, b6, c8, e7, d5, c7, a8, b6, a8, 
a8, b6, c8, e7, d5, c7, a8, c7, a8, 
a8, b6, c8, e7, d5, c7, a6, c7, a8, 
a8, b6, c8, e7, d5, c3, d5, c7, a8, 
a8, b6, c8, e7, d5, c3, d5, b6, a8, 
a8, b6, c8, e7, d5, c3, b5, c7, a8, 
a8, b6, c8, e7, d5, c3, a4, b6, a8, 
a8, b6, c8, e7, d5, f6, e8, c7, a8, 
a8, b6, c8, e7, d5, f6, d7, b6, a8, 
a8, b6, c8, e7, d5, f6, d5, c7, a8, 
a8, b6, c8, e7, d5, f6, d5, b6, a8, 
a8, b6, c8, e7, d5, f4, e6, c7, a8, 
a8, b6, c8, e7, d5, f4, d5, c7, a8, 
a8, b6, c8, e7, d5, f4, d5, b6, a8, 
a8, b6, c8, e7, d5, b6, c8, b6, a8, 
a8, b6, c8, e7, d5, b6, c4, b6, a8, 
a8, b6, c8, e7, d5, b6, a8, b6, a8, 
a8, b6, c8, e7, d5, b6, a8, c7, a8, 
a8, b6, c8, e7, d5, b6, a4, b6, a8, 
a8, b6, c8, e7, d5, b6, d7, b6, a8, 
a8, b6, c8, e7, d5, b6, d5, c7, a8, 
a8, b6, c8, e7, d5, b6, d5, b6, a8, 
a8, b6, c8, e7, d5, b4, a6, c7, a8, 
a8, b6, c8, e7, d5, b4, d5, c7, a8, 
a8, b6, c8, e7, d5, b4, d5, b6, a8, 
a8, b6, c8, e7, g8, f6, e8, c7, a8, 
a8, b6, c8, e7, g8, f6, d7, b6, a8, 
a8, b6, c8, e7, g8, f6, d5, c7, a8, 
a8, b6, c8, e7, g8, f6, d5, b6, a8, 
a8, b6, c8, e7, g8, e7, d5, c7, a8, 
a8, b6, c8, e7, g8, e7, d5, b6, a8, 
a8, b6, c8, e7, g8, e7, c8, b6, a8, 
a8, b6, c8, e7, g6, f8, e6, c7, a8, 
a8, b6, c8, e7, g6, f8, d7, b6, a8, 
a8, b6, c8, e7, g6, f4, e6, c7, a8, 
a8, b6, c8, e7, g6, f4, d5, c7, a8, 
a8, b6, c8, e7, g6, f4, d5, b6, a8, 
a8, b6, c8, e7, g6, e7, d5, c7, a8, 
a8, b6, c8, e7, g6, e7, d5, b6, a8, 
a8, b6, c8, e7, g6, e7, c8, b6, a8, 
a8, b6, c8, e7, g6, e5, d7, b6, a8, 
a8, b6, c8, e7, g6, e5, c4, b6, a8, 
a8, b6, c8, e7, c8, d6, e8, c7, a8, 
a8, b6, c8, e7, c8, d6, c8, b6, a8, 
a8, b6, c8, e7, c8, d6, c4, b6, a8, 
a8, b6, c8, e7, c8, d6, b5, c7, a8, 
a8, b6, c8, e7, c8, b6, c8, b6, a8, 
a8, b6, c8, e7, c8, b6, c4, b6, a8, 
a8, b6, c8, e7, c8, b6, a8, b6, a8, 
a8, b6, c8, e7, c8, b6, a8, c7, a8, 
a8, b6, c8, e7, c8, b6, a4, b6, a8, 
a8, b6, c8, e7, c8, b6, d7, b6, a8, 
a8, b6, c8, e7, c8, b6, d5, c7, a8, 
a8, b6, c8, e7, c8, b6, d5, b6, a8, 
a8, b6, c8, e7, c8, e7, d5, c7, a8, 
a8, b6, c8, e7, c8, e7, d5, b6, a8, 
a8, b6, c8, e7, c8, e7, c8, b6, a8, 
a8, b6, c8, e7, c8, a7, b5, c7, a8, 
a8, b6, c8, e7, c8, a7, c8, b6, a8, 
a8, b6, c8, e7, c6, d8, e6, c7, a8, 
a8, b6, c8, e7, c6, d4, e6, c7, a8, 
a8, b6, c8, e7, c6, d4, b5, c7, a8, 
a8, b6, c8, e7, c6, b8, a6, c7, a8, 
a8, b6, c8, e7, c6, b8, d7, b6, a8, 
a8, b6, c8, e7, c6, b4, a6, c7, a8, 
a8, b6, c8, e7, c6, b4, d5, c7, a8, 
a8, b6, c8, e7, c6, b4, d5, b6, a8, 
a8, b6, c8, e7, c6, e7, d5, c7, a8, 
a8, b6, c8, e7, c6, e7, d5, b6, a8, 
a8, b6, c8, e7, c6, e7, c8, b6, a8, 
a8, b6, c8, e7, c6, e5, d7, b6, a8, 
a8, b6, c8, e7, c6, e5, c4, b6, a8, 
a8, b6, c8, e7, c6, a7, b5, c7, a8, 
a8, b6, c8, e7, c6, a7, c8, b6, a8, 
a8, b6, c8, e7, c6, a5, c4, b6, a8, 
a8, b6, c8, a7, b5, c7, d5, c7, a8, 
a8, b6, c8, a7, b5, c7, d5, b6, a8, 
a8, b6, c8, a7, b5, c7, b5, c7, a8, 
a8, b6, c8, a7, b5, c7, e8, c7, a8, 
a8, b6, c8, a7, b5, c7, e6, c7, a8, 
a8, b6, c8, a7, b5, c7, a8, b6, a8, 
a8, b6, c8, a7, b5, c7, a8, c7, a8, 
a8, b6, c8, a7, b5, c7, a6, c7, a8, 
a8, b6, c8, a7, b5, c3, d5, c7, a8, 
a8, b6, c8, a7, b5, c3, d5, b6, a8, 
a8, b6, c8, a7, b5, c3, b5, c7, a8, 
a8, b6, c8, a7, b5, c3, a4, b6, a8, 
a8, b6, c8, a7, b5, a7, b5, c7, a8, 
a8, b6, c8, a7, b5, a7, c8, b6, a8, 
a8, b6, c8, a7, b5, a3, b5, c7, a8, 
a8, b6, c8, a7, b5, a3, c4, b6, a8, 
a8, b6, c8, a7, b5, d6, e8, c7, a8, 
a8, b6, c8, a7, b5, d6, c8, b6, a8, 
a8, b6, c8, a7, b5, d6, c4, b6, a8, 
a8, b6, c8, a7, b5, d6, b5, c7, a8, 
a8, b6, c8, a7, b5, d4, e6, c7, a8, 
a8, b6, c8, a7, b5, d4, b5, c7, a8, 
a8, b6, c8, a7, c8, d6, e8, c7, a8, 
a8, b6, c8, a7, c8, d6, c8, b6, a8, 
a8, b6, c8, a7, c8, d6, c4, b6, a8, 
a8, b6, c8, a7, c8, d6, b5, c7, a8, 
a8, b6, c8, a7, c8, b6, c8, b6, a8, 
a8, b6, c8, a7, c8, b6, c4, b6, a8, 
a8, b6, c8, a7, c8, b6, a8, b6, a8, 
a8, b6, c8, a7, c8, b6, a8, c7, a8, 
a8, b6, c8, a7, c8, b6, a4, b6, a8, 
a8, b6, c8, a7, c8, b6, d7, b6, a8, 
a8, b6, c8, a7, c8, b6, d5, c7, a8, 
